Category,ShoeName,Price,No of Color,productcode
Women's • Running,Pureboost 23 Running Shoes,140,3,IF1538
Originals,Busenitz Pro Shoes,85,3,G48060
Originals,Gazelle ADV Shoes,100,3,FX6563
Women's • Sportswear,Ultraboost 1.0 Shoes,190,3,ID9639
Women's • Originals,NMD_W1 Shoes,160,3,IE5465
Women's • Sportswear,Ultraboost 1.0 Shoes,190,3,IF5268
Originals,Samba OG Shoes,100,3,IG1024
Women's • Running,Runfalcon 3 Running Shoes,65,3,HP7556
Originals,NMD_R1 Shoes,130,3,GZ9261
Women's • Originals,Superstar Shoes,110,3,IF7615
Sportswear,Adicane Clogs,50,3,HQ9917
Running,Ultraboost Light Running Shoes New York Together,190,3,IG7953
Swim,Adilette Clogs,50,3,FY8970
Women's • adidas by Stella McCartney,adidas by Stella McCartney Ultraboost 20 Shoes,230,3,ID0273
Women's • TERREX,TERREX Swift R3 GORE-TEX Hiking Shoes,160,3,IF2403
Women's • Originals,AdiFOM SST Boot Shoes,110,3,IE4613
Women's • Originals,Superstar XLG Shoes,110,3,IE7377
Soccer,Samba Classic Shoes,90,3,772109
